,Names,"Elastic (Young's, Tensile) Modulus",Elongation at Break,Poisson's Ratio,Shear Modulus,Tensile Strength: Ultimate (UTS),Tensile Strength: Yield (Proof),Latent Heat of Fusion,Melting Completion (Liquidus),Melting Onset (Solidus),Specific Heat Capacity,Thermal Conductivity,Thermal Expansion,Electrical Conductivity: Equal Volume,Electrical Conductivity: Equal Weight (Specific),Base Metal Price,Density,Embodied Carbon,Embodied Energy,Embodied Water,Resilience: Ultimate (Unit Rupture Work),Resilience: Unit (Modulus of Resilience),Stiffness to Weight: Axial,Stiffness to Weight: Bending,Strength to Weight: Axial,Strength to Weight: Bending,Thermal Diffusivity,Thermal Shock Resistance,Iron (Fe)Fe,Nickel (Ni)Ni,Manganese (Mn)Mn,Molybdenum (Mo)Mo,Silicon (Si)Si,Copper (Cu)Cu,Carbon (C)C,Chromium (Cr)Cr,Vanadium (V)V,Phosphorus (P)P,Sulfur (S)S,PREN (Pitting Resistance),Niobium (Nb)Nb,Nitrogen (N)N,Aluminum (Al)Al,Titanium (Ti)Ti,Zirconium (Zr)Zr,Brinell Hardness,Fatigue Strength,Maximum Temperature: Mechanical,Impact Strength: V-Notched Charpy,Tungsten (W)W,Maximum Temperature: Corrosion,Selenium (Se)Se,Cobalt (Co)Co,Magnesium (Mg)Mg,Tin (Sn)Sn,Arsenic (As)As,Shear Strength,Calcium (Ca)Ca,Boron (B)B,Oxygen (O)O,Tantalum (Ta)Ta,Cerium (Ce)Ce,Lanthanum (La)La,Lead (Pb)Pb,Zinc (Zn)Zn
0,AWS-E100C-K3-or-E69C-K3-Weld-Metal,190.0,18.0,0.29,73.0,770.0,700.0,250,1460,1410,470,48.0,13.0,7.9,9.0,3.4,7.8,1.7,23,53,130.0,1290.0,13.0,24.0,27.0,24.0,13.0,23.0,95.55,1.5,1.525,0.45,0.4,0.175,0.075,0.075,0.015,0.0125,0.0125,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,AWS-E110C-K3-or-E76C-K3-Weld-Metal,190.0,17.0,0.29,73.0,870.0,760.0,250,1460,1410,470,48.0,13.0,7.9,9.0,3.4,7.8,1.7,23,53,140.0,1550.0,13.0,24.0,31.0,26.0,13.0,26.0,95.55,1.5,1.525,0.45,0.4,0.175,0.075,0.075,0.015,0.0125,0.0125,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,AWS-E110C-K4-or-E76C-K4-Weld-Metal,190.0,17.0,0.29,73.0,850.0,780.0,250,1460,1410,470,41.0,13.0,8.0,9.2,3.5,7.8,1.7,23,54,140.0,1600.0,13.0,24.0,30.0,25.0,11.0,25.0,95.25,1.5,1.525,0.45,0.4,0.175,0.075,0.4,0.015,0.0125,0.0125,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,AWS-E120C-K4-or-E83C-K4-Weld-Metal,190.0,17.0,0.29,73.0,950.0,840.0,250,1460,1410,470,41.0,13.0,8.0,9.2,3.5,7.8,1.7,23,54,160.0,1880.0,13.0,24.0,34.0,27.0,11.0,28.0,95.25,1.5,1.525,0.45,0.4,0.175,0.075,0.4,0.015,0.0125,0.0125,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,AWS-E70C-B2L-or-E49C-B2L-W52130-Weld-Metal,190.0,21.0,0.29,73.0,580.0,460.0,260,1460,1420,470,39.0,13.0,7.5,8.6,3.0,7.8,1.6,22,54,110.0,550.0,13.0,24.0,20.0,20.0,11.0,17.0,96.55,0.1,0.7,0.525,0.425,0.175,0.025,1.25,0.015,0.0125,0.015,3.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,AWS-E70C-Ni2-or-E49C-Ni2-W22030-Weld-Metal,190.0,27.0,0.29,72.0,560.0,450.0,250,1450,1410,470,52.0,13.0,7.5,8.6,3.3,7.8,1.6,22,51,140.0,540.0,13.0,24.0,20.0,19.0,14.0,17.0,96.19999999999999,2.3,0.65,0.0,0.45,0.175,0.04,0.0,0.015,0.0125,0.015,3.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,AWS-E80C-B2-or-E55C-B2-W52030-Weld-Metal,190.0,22.0,0.29,73.0,630.0,530.0,260,1460,1420,470,39.0,13.0,7.5,8.6,3.0,7.8,1.6,22,53,130.0,740.0,13.0,24.0,22.0,21.0,11.0,18.0,96.6,0.1,0.7,0.525,0.425,0.0,0.08499999999999999,1.25,0.015,0.0125,0.015,3.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,AWS-E80C-B3L-or-E55C-B3L-W53130-Weld-Metal,190.0,19.0,0.29,73.0,620.0,540.0,260,1460,1420,470,41.0,13.0,7.7,8.8,4.0,7.8,1.8,24,60,110.0,760.0,13.0,24.0,22.0,21.0,11.0,18.0,95.0,0.1,0.7,1.05,0.425,0.175,0.025,2.25,0.015,0.0125,0.015,5.7,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,AWS-E80C-B6-or-E55C-B6-Weld-Metal,190.0,19.0,0.29,74.0,630.0,530.0,260,1450,1410,470,39.0,13.0,8.2,9.5,4.7,7.8,1.8,25,71,120.0,730.0,14.0,25.0,22.0,21.0,11.0,18.0,92.25,0.3,0.7,0.55,0.425,0.175,0.05,5.25,0.015,0.0125,0.0125,7.1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,AWS-E80C-B8-or-E55C-B8-Weld-Metal,190.0,19.0,0.28,75.0,620.0,540.0,270,1450,1410,470,25.0,13.0,9.1,11.0,6.5,7.8,2.1,28,89,110.0,740.0,14.0,25.0,22.0,21.0,6.9,17.0,88.05,0.1,0.7,1.0,0.425,0.175,0.05,9.25,0.015,0.0125,0.0125,13.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
