Names,"Elastic (Young's, Tensile) Modulus",Elongation at Break,Poisson's Ratio,Shear Modulus,Tensile Strength: Ultimate (UTS),Tensile Strength: Yield (Proof),Latent Heat of Fusion,Melting Completion (Liquidus),Melting Onset (Solidus),Specific Heat Capacity,Thermal Conductivity,Thermal Expansion,Electrical Conductivity: Equal Volume,Electrical Conductivity: Equal Weight (Specific),Base Metal Price,Density,Embodied Carbon,Embodied Energy,Embodied Water,Resilience: Ultimate (Unit Rupture Work),Resilience: Unit (Modulus of Resilience),Stiffness to Weight: Axial,Stiffness to Weight: Bending,Strength to Weight: Axial,Strength to Weight: Bending,Thermal Diffusivity,Thermal Shock Resistance,Iron (Fe)Fe,Nickel (Ni)Ni,Manganese (Mn)Mn,Molybdenum (Mo)Mo,Silicon (Si)Si,Copper (Cu)Cu,Carbon (C)C,Chromium (Cr)Cr,Vanadium (V)V,Phosphorus (P)P,Sulfur (S)S,Residualsres.,PREN (Pitting Resistance),Niobium (Nb)Nb,Nitrogen (N)N,Aluminum (Al)Al,Titanium (Ti)Ti,Zirconium (Zr)Zr,Brinell Hardness,Fatigue Strength,Reduction in Area,Maximum Temperature: Mechanical,Impact Strength: V-Notched Charpy,Tungsten (W)W,Maximum Temperature: Corrosion,Selenium (Se)Se,Cobalt (Co)Co,Magnesium (Mg)Mg,Tin (Sn)Sn,Arsenic (As)As,Fracture Toughness,Shear Strength,Compressive (Crushing) Strength,Curie Temperature,Rockwell C Hardness,Calcium (Ca)Ca,Boron (B)B,Oxygen (O)O,Rockwell B Hardness,Calomel Potential,Tantalum (Ta)Ta,Cerium (Ce)Ce,Lanthanum (La)La,Lead (Pb)Pb,Zinc (Zn)Zn
AWS-E100C-K3-or-E69C-K3-Weld-Metal,190,18,0.29,73,770,700,250,1460,1410,470,48,13,7.9,9,3.4,7.8,1.7,23,53,130,1290,13,24,27,24,13,23,92.6 to 98.5,0.5 to 2.5,0.75 to 2.3,0.25 to 0.65,0 to 0.8,0 to 0.35,0 to 0.15,0 to 0.15,0 to 0.030,0 to 0.025,0 to 0.025,0 to 0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-E110C-K3-or-E76C-K3-Weld-Metal,190,17,0.29,73,870,760,250,1460,1410,470,48,13,7.9,9,3.4,7.8,1.7,23,53,140,1550,13,24,31,26,13,26,92.6 to 98.5,0.5 to 2.5,0.75 to 2.3,0.25 to 0.65,0 to 0.8,0 to 0.35,0 to 0.15,0 to 0.15,0 to 0.030,0 to 0.025,0 to 0.025,0 to 0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-E110C-K4-or-E76C-K4-Weld-Metal,190,17,0.29,73,850,780,250,1460,1410,470,41,13,8,9.2,3.5,7.8,1.7,23,54,140,1600,13,24,30,25,11,25,92.1 to 98.4,0.5 to 2.5,0.75 to 2.3,0.25 to 0.65,0 to 0.8,0 to 0.35,0 to 0.15,0.15 to 0.65,0 to 0.030,0 to 0.025,0 to 0.025,0 to 0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-E120C-K4-or-E83C-K4-Weld-Metal,190,17,0.29,73,950,840,250,1460,1410,470,41,13,8,9.2,3.5,7.8,1.7,23,54,160,1880,13,24,34,27,11,28,92.1 to 98.4,0.5 to 2.5,0.75 to 2.3,0.25 to 0.65,0 to 0.8,0 to 0.35,0 to 0.15,0.15 to 0.65,0 to 0.030,0 to 0.025,0 to 0.025,0 to 0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-E70C-B2L-or-E49C-B2L-W52130-Weld-Metal,190,21,0.29,73,580,460,260,1460,1420,470,39,13,7.5,8.6,3,7.8,1.6,22,54,110,550,13,24,20,20,11,17,95.1 to 98,0 to 0.2,0.4 to 1.0,0.4 to 0.65,0.25 to 0.6,0 to 0.35,0 to 0.050,1.0 to 1.5,0 to 0.030,0 to 0.025,0 to 0.030,0 to 0.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-E70C-Ni2-or-E49C-Ni2-W22030-Weld-Metal,190,27,0.29,72,560,450,250,1450,1410,470,52,13,7.5,8.6,3.3,7.8,1.6,22,51,140,540,13,24,20,19,14,17,94.1 to 98.3,1.8 to 2.8,0 to 1.3,NA,0 to 0.9,0 to 0.35,0 to 0.080,NA,0 to 0.030,0 to 0.025,0 to 0.030,0 to 0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-E80C-B2-or-E55C-B2-W52030-Weld-Metal,190,22,0.29,73,630,530,260,1460,1420,470,39,13,7.5,8.6,3,7.8,1.6,22,53,130,740,13,24,22,21,11,18,95.3 to 97.9,0 to 0.2,0.4 to 1.0,0.4 to 0.65,0.25 to 0.6,NA,0.050 to 0.12,1.0 to 1.5,0 to 0.030,0 to 0.025,0 to 0.030,0 to 0.5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-E80C-B3L-or-E55C-B3L-W53130-Weld-Metal,190,19,0.29,73,620,540,260,1460,1420,470,41,13,7.7,8.8,4,7.8,1.8,24,60,110,760,13,24,22,21,11,18,93.5 to 96.5,0 to 0.2,0.4 to 1.0,0.9 to 1.2,0.25 to 0.6,0 to 0.35,0 to 0.050,2.0 to 2.5,0 to 0.030,0 to 0.025,0 to 0.030,0 to 0.5,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-E80C-B6-or-E55C-B6-Weld-Metal,190,19,0.29,74,630,530,260,1450,1410,470,39,13,8.2,9.5,4.7,7.8,1.8,25,71,120,730,14,25,22,21,11,18,90.1 to 94.4,0 to 0.6,0.4 to 1.0,0.45 to 0.65,0.25 to 0.6,0 to 0.35,0 to 0.1,4.5 to 6.0,0 to 0.030,0 to 0.025,0 to 0.025,0 to 0.5,7.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AWS-E80C-B8-or-E55C-B8-Weld-Metal,190,19,0.28,75,620,540,270,1450,1410,470,25,13,9.1,11,6.5,7.8,2.1,28,89,110,740,14,25,22,21,6.9,17,85.5 to 90.6,0 to 0.2,0.4 to 1.0,0.8 to 1.2,0.25 to 0.6,0 to 0.35,0 to 0.1,8.0 to 10.5,0 to 0.030,0 to 0.025,0 to 0.025,0 to 0.5,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
